distance_km,time_min,active_orders,available_partners,base_fee,promo_discount,delivery_fee
4.0581311290499436,18.777243209710473,232,179,20,0,82.49405114489689
9.531785910894204,21.57024807812575,85,72,20,20,108.13573443877037
7.453942447208348,34.90915876207631,86,60,25,30,106.4753628791452
6.187255599871848,16.900153512096225,63,99,20,0,91.7669628360748
1.982177084203147,35.437738968426,172,91,30,0,105.94454382176481
1.981947943193925,8.084705084184202,132,162,30,30,26.788363905935448
1.0517943155978948,32.187945302302076,208,145,20,0,74.85808614041912
8.728673384861883,34.664167156915774,378,139,30,20,137.6933200607101
6.210592611560483,11.363617849306856,151,193,15,0,84.85461149543664
7.226689489062432,20.062128633027015,386,110,20,10,124.30881366105261
0.6955526958101232,10.792492113227947,132,174,20,10,36.640196260103025
9.714143595538946,29.73114451479762,93,101,20,10,122.97120667905477
8.408205087604006,23.737171882157988,117,127,15,30,86.50957611495683
2.5172215514436234,27.236317134791236,97,63,15,30,45.15051037417321
2.2273371884674558,11.87704384346739,106,79,20,20,43.400855688425324
2.2423428436076214,12.411105171834684,124,115,25,0,64.80664339973103
3.3903013081156086,6.452406392846723,71,175,25,0,58.83833003637064
5.48518610050626,16.27236373185054,181,48,30,0,130.02905805270942
4.603477677100099,24.591063146678625,351,42,15,30,95.64317166085185
3.2666768318813983,35.02772198990651,316,60,30,10,133.73393524848734
6.312602499862605,28.342460661053824,336,134,30,30,106.70495170020935
1.8251916761943974,20.2388713189913,169,55,20,30,59.50166638036695
3.2753741610845726,38.35920400379482,295,146,25,10,98.24726879145716
3.980437511290071,30.173582020154115,105,132,30,20,77.18489235577961
4.832664850061842,37.55578210018925,87,172,20,30,74.87723675799779
7.9591716332336295,23.465579064525798,294,178,15,20,98.96426378633032
2.3969009305044175,14.061649617759887,70,196,30,10,60.85487322663466
5.385227164929311,6.8489340227652695,159,118,25,20,64.85696310575712
6.127938404189403,30.412969801934768,143,109,15,0,109.6217729055169
0.9412789208399783,9.245604930193695,185,87,20,10,48.16952008569048
6.271676093063665,15.597129489518851,280,54,15,0,130.64617218159214
2.1199791750292696,23.63648177593641,57,73,30,0,77.43967691152157
1.1179901333601554,24.754580572291168,377,99,15,20,63.44763156964242
9.514412603906665,26.02041189454976,339,41,15,10,159.1270996218148
9.673504314208314,10.818936562239521,300,119,15,0,127.24087864632499
8.17977480710638,18.290809168757704,136,58,25,0,132.81167405484834
3.3938308071470216,26.601797949093836,253,88,30,30,88.29969784349726
1.4278850830606467,38.94366026218247,268,117,20,20,71.66213499493438
7.00021375186549,30.467089819489104,290,67,25,0,153.85925448530534
